Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,199.49864517473847,11.0,69.22854720399597,131.09185566475892
2.0,196.5748003369729,11.0,69.53474537588549,131.11727775497965
3.0,197.16409892852826,11.0,69.70030705778954,131.32296106757116
4.0,197.77218721465732,11.0,69.8713215090589,131.52979844636965
5.0,192.65683250217216,11.0,69.54586531887176,132.2133949523503
6.0,193.25947266918917,11.0,69.71537279213035,132.43508987802164
7.0,193.88064730626036,11.0,69.89025896859869,132.65801418742146
8.0,194.52035641338583,11.0,70.07052384827675,132.88216788054964
9.0,195.17859999056546,11.0,70.25616743116457,133.10755095740626
10.0,195.85537803779934,11.0,70.44718971726209,133.3341634179913
11.0,196.5506905550875,11.0,70.64359070656937,133.56200526230475
12.0,248.8944173889763,14.0,84.56576163833606,168.10053508167707
13.0,249.35464857609927,14.0,84.77371992628092,168.252392145571
14.0,251.69931846371324,14.0,84.29613377382873,168.09683193040715
15.0,252.20463171220695,14.0,84.43564221816958,168.32090260580145
16.0,252.73564357381684,14.0,84.58228412288247,168.54643113144957
17.0,255.43077723500227,14.0,84.20489072367607,167.77799073974046
18.0,256.01321272009,14.0,84.36645155359767,167.98634875312928
19.0,256.6213464668429,14.0,84.53547433137014,168.19573490461465
20.0,257.25517847526083,14.0,84.7119547446778,168.4061535065121
21.0,259.10089915910834,14.0,84.09127707811707,166.79669010092067
22.0,255.716334788884,14.0,84.26285916513426,166.97024174615655
23.0,256.384674414012,14.0,84.44932035573416,167.1682069709772
24.0,258.7622435872725,14.0,83.98080538322809,166.49347305346416
25.0,259.4783157509919,14.0,84.18118308902648,166.66955356522354
26.0,260.22025867315404,14.0,84.38898723093784,166.84653346454147
27.0,262.1651727375251,14.0,83.79610687095757,165.53576518042686
28.0,262.9474395458868,14.0,84.0166531284298,165.6861757621549
29.0,300.23159864998854,16.0,93.9873461690652,188.70112579554194
30.0,300.92543320746734,16.0,94.22232992822669,188.8134811567495
31.0,301.6487132906901,16.0,94.42368071680701,188.9686760772208
32.0,317.5337888090058,17.0,99.76589407685897,200.2087620797931
33.0,318.2244452241049,17.0,99.97488551237348,200.358241050167
34.0,318.9458999733551,17.0,100.17531400403523,200.5259659692074
35.0,321.6989753880365,17.0,99.81403589866808,198.28477220609085
