Numero	VACA 	5-ene	CONCENTRAD0 1	rel1	POTRERO	12-ene	CONCENTRADO2	rel2	POTRERO	19-ene	CONCENTRADO3	rel3	POTRERO	26-ene	CONCENTRADO4	rel4	POTREROS	2-feb	CONCENTRAD05	rel5	POTRERO	9-feb	CONCENTRADO6	rel6	POTRERO	16-feb	CONCENTRADO7	rel7	POTRERO	23-feb	CONCENTRADO8	rel8	POTREROS	2-mar	CONCENTRADO9	rel9	POTRERO	9-mar	CONCENTRADO10	rel10	POTRERO	17-mar	CONCENTRADO11	rel11	POTRERO	23-mar	CONCENTRADO12	rel12	POTREROS	30-mar	CONCENTRADO13	rel13	POTREROS	6-abr	CONCENTRADO14	rel14	POTRERO	14-abr	CONCENTRADO15	rel15	POTRERO	20-abr	CONCENTRADO16	rel16	POTRERO	27-abr	CONCENTRADO17	rel17	POTREROS	4-may	CONCENTRADO18	rel18	POTRERO	11-may	CONCENTRADO19	rel19	POTRERO	18-may	CONCENTRADO20	rel20	POTRERO	25-may	CONCENTRADO21	rel21	POTREROS	1-jun	CONCENTRADO22	rel22	POTRERO	8-jun	CONCENTRADO23	rel23	POTRERO	15-jun	CONCENTRADO24	rel24	POTRERO	23-jun	CONCENTRADO25	rel25	POTREROS	26-jun	CONCENTRADO26	rel26	POTREROS	1-jul	CONCENTRADO27	rel27	POTRERO	6-jul	CONCENTRADO28	rel28	POTRERO	13-jul	CONCENTRADO29	rel29	POTRERO	20-jul	CONCENTRADO30	rel30	POTREROS	27-jul	CONCENTRADO31	rel31	POTREROS	3-ago	CONCENTRADO32	rel32	POTRERO	10-ago	CONCENTRADO33	rel33	POTRERO	17-ago	CONCENTRADO34	rel34	POTRERO	24-ago	CONCENTRADO35	rel35	POTREROS	31-ago	CONCENTRADO36	rel36	POTREROS	6-sep	CONCENTRADO37	rel37	POTRERO	13-sep	CONCENTRADO38	rel38	POTRERO	21-sep	CONCENTRADO39	rel39	POTRERO	28-sep	CONCENTRADO40	rel40	POTREROS	4-oct	CONCENTRADO41	rel41	POTRERO	12-oct	CONCENTRADO42	rel42	POTRERO	19-oct	CONCENTRADO43	rel43	POTRERO	26-oct	CONCENTRADO44	rel44	POTRERO	2-nov	CONCENTRADO45	rel45	POTRERO	9-nov	CONCENTRADO46	rel46	POTRERO	15-nov	CONCENTRADO47	rel47	POTRERO	23-nov	CONCENTRADO48	rel48	POTRERO	30-nov	CONCENTRADO49	rel49	POTRERO	7-dic	CONCENTRADO50	rel50	POTRERO	14-dic	CONCENTRADO51	rel51	POTRERO	22-dic	CONCENTRADO52	rel52	POTRERO	28-dic	CONCENTRADO53	rel53	POTRERO
9	MILU			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2			NaN	1			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	1			NaN	4			NaN	5			NaN	3			NaN				NaN	2			NaN	2			NaN	1			NaN	4			NaN	5			NaN	3			NaN	2			NaN				NaN				NaN	1			NaN	4			NaN	5			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	
10	MONA	31.5	10	3.2	2	31	10	3.1	2	31	10	3.1	3	31.5	10	3.2	4	30.5	10	3.1	5	30	10	3.0	3	28	8	3.5	2	33	10	3.3	1	29	10	2.9		27.5	8	3.4		24.5	8	3.1		27.5	8	3.4		24	6	4.0		25.5	8	3.2	1	23	6	3.8	1	23	6	3.8	4	18.5	4	4.6	5	18	4	4.5	5	18	4	4.5	3	17.5	4	4.4	2	17.5	4	4.4	1	18	4	4.5	1	17	4	4.3	4	16	4	4.0	5	14.4	2	7.2	3	14	2	7.0		13.5	2	6.8	2	14	2	7.0	2	12	2	6.0	1	11.5	2	5.8	4	9.5		NaN	5			NaN	3			NaN	2			NaN				NaN	1			NaN	1			NaN	4			NaN	5			NaN				NaN		25.5	8	3.2	2	20.5	4	5.1	1			NaN				NaN				NaN				NaN				NaN				NaN	2	28.00	10	2.8	1	34.00	10	3.4	4	35.00	10	3.5	4	29.00	10	2.9	5	34.50	10	3.5	3
11	NEGRITA	20	4	5.0	2	20	4	5.0	2	20	4	5.0	3	20	4	5.0	4			NaN	5			NaN	3			NaN	2			NaN	1			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	1			NaN	4			NaN	5			NaN	3			NaN				NaN	2			NaN	2			NaN	1			NaN	4			NaN	5			NaN	3			NaN	2			NaN				NaN	1			NaN	1			NaN	4			NaN	5			NaN				NaN		22	6	3.7	2	21.5	6	3.6	1			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN	
12	NICOLE	20	4	5.0	2	21	4	5.3	2	20	4	5.0	3	18.5	4	4.6	4	17.5	4	4.4	5	15	2	7.5	3	14	2	7.0	2			NaN	1			NaN				NaN				NaN				NaN				NaN				NaN				NaN				NaN		31.5	10	3.2	5	35	10	3.5	5	35	10	3.5	3	26	8	3.3	2	31.5	10	3.2	1	34	10	3.4	1	33	8	4.1	4	34	10	3.4	5	34	10	3.4	3	31.5	10	3.2		28.5	8	3.6	2	32	10	3.2	2	30.5	10	3.1	1	32	10	3.2	4	29.5	10	3.0	5	31.5	10	3.2	3	29	10	2.9	2	24	6	4.0		25	8	3.1	1	20	4	5.0	1	26.5	8	3.3	4	25.5	8	3.2	5	24.5	6	4.1	3	22	6	3.7	3			NaN				NaN		22.00	6	3.7	1	21.00	6	3.5	4	23.5	6	3.9	5	23.5	6	3.9	3	22.00	6	3.7	3	22.00	6	3.7	2	28.00	8	3.5	1	22.00	6	3.7	4	22.00	6	3.7	4	20.50	4	5.1	5	21.00	6	3.5	3
13	OJITOS			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2			NaN	1			NaN		25.5	8	3.2		26	8	3.3		27	8	3.4		27.5	8	3.4		30	10	3.0	1	28	8	3.5	1	24	6	4.0	4	27	8	3.4	5	25.5	8	3.2	5	25.5	8	3.2	3	25.5	8	3.2	2	27	8	3.4	1	26	8	3.3	1	27	8	3.4	4	26.5	8	3.3	5	26.5	8	3.3	3	25.5	8	3.2		27	8	3.4	2	24.5	6	4.1	2	24	6	4.0	1	25	6	4.2	4	24	6	4.0	5	25	8	3.1	3	25	8	3.1	2	25	8	3.1		24	6	4.0	1	23.5	6	3.9	1	22.5	6	3.8	4	23	6	3.8	5	22.5	6	3.8	3	22.5	6	3.8	3	18	4	4.5	2	17.5	4	4.4	1	23.50	6	3.9	1	21.00	6	3.5	4	20	4	5.0	5	20	4	5.0	3	19.50	4	4.9	3	17.00	4	4.3		16.00	0	NaN	1	15.00	2	7.5	4	19.00	0	NaN	4			NaN				NaN	
14	PANELA	18	4	4.5	2	17.5	4	4.375	2	19	4	4.75	3	18	4	4.5	4	18	4	4.5	5	17	4	4.25	3	17	4	4.3	2	17.5	4	4.4	1	16	2	8.0		14.5	2	7.3		14	2	7.0		16	4	4.0		14	4	3.5		17.5	4	4.4	1	15.5	2	7.8	1	14	2	7.0	4	13.5	2	6.8	5	14	2	7.0	5	14.5	4	3.6	3	12.5	2	6.3	2	12.5	2	6.3	1	12.5	2	6.3	1	11		NaN	4	11	0	NaN	5	15	2	7.5	3	10.5	2	5.3		10.5	2	5.3	2	10.5	2	5.3	2	10	2	5.0	1	7.5	2	3.8	4	8.5		NaN	5			NaN	3			NaN	2			NaN				NaN	1			NaN	1			NaN	4			NaN	5			NaN				NaN		25.5	8	3.2	2	26.5	8	3.3	1			NaN				NaN				NaN				NaN				NaN				NaN	2		10	0.0	1	26.00	8	3.3	4	30.00	8	3.8	4	32.50	10	3.3	5	37.50	10	3.8	3
15	PERDIDA			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5	41	10	4.1	3	46.5	12	3.9	2	51	12	4.3	1	51	12	4.3		52.5	12	4.4		42	12	3.5		48	12	4.0		45.5	12	3.8		45.5	12	3.8	1	42	10	4.2	1	41	10	4.1	4	40.5	10	4.1	5	37.5	10	3.8	5	37.5	10	3.8	3	37	10	3.7	2	36.5	10	3.7	1	35.5	10	3.6	1	32.5	8	4.1	4	32.5	10	3.3	5	30	10	3.0	3	31	10	3.1		30.5	10	3.1	2	30	10	3.0	2	30	10	3.0	1	23.5	10	2.4	4	28.5	8	3.6	5	26.5	8	3.3	3	26	8	3.3	2	22	6	3.7		26.5	8	3.3	1	25	8	3.1	1	21	6	3.5	4	21.5	6	3.6	5	22.5	6	3.8	3	20.5	4	5.1	3	19.5	4	4.9	2	17	4	4.3	1	17.00	4	4.3	1	16.00	2	8.0	4	15.5	2	7.8	5	15	2	7.5	3	12.50	2	6.3	3	14.00	2	7.0	2	11.00	2	5.5	1	12.00	2	6.0	4	10.50	2	5.3	4	10.50	2	5.3	5	10.00	2	5.0	3
16	PITUFINA			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2	23	6	3.8	1	34	10	3.4		32.5	10	3.3		36.5	10	3.7		34.5	12	2.9		36	12	3.0		37.5	10	3.8	1	31	10	3.1	1	35.5	10	3.6	4	34	10	3.4	5	35	10	3.5	5	36.5	10	3.7	3	33.5	10	3.4	2	35	10	3.5	1	32.5	10	3.3	1	34.5	8	4.3	4	29	10	2.9	5	34.5	10	3.5	3	32.5	10	3.3		31	10	3.1	2	32	10	3.2	2	27.5	8	3.4	1	31	8	3.9	4	27	8	3.4	5	24	6	4.0	3	28	8	3.5	2	24.5	6	4.1		27.6	8	3.5	1	25	8	3.1	1	27.5	8	3.4	4	27	8	3.4	5	24	6	4.0	3	23	6	3.8	3	22.5	6	3.8	2	23	6	3.8	1	24.00	6	4.0	1	22.50	6	3.8	4	22	6	3.7	5	23	6	3.8	3	22.50	6	3.8	3	21.00	6	3.5	2	19.50	4	4.9	1	19.00	4	4.8	4	22.50	4	5.6	4	21.50	6	3.6	5	21.00	6	3.5	3
17	RATONA			NaN	2			NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2	26	8	3.3	1	26.5	8	3.3		35.5	10	3.6		38	10	3.8		39.5	12	3.3		41.5	12	3.5		41	12	3.4	1	42	10	4.2	1	41	10	4.1	4	41	10	4.1	5	37	10	3.7	5	37.5	10	3.8	3	37	10	3.7	2	36.5	10	3.7	1	35	10	3.5	1	32	8	4.0	4	30	10	3.0	5	30	10	3.0	3	28	10	2.8		29	8	3.6	2	29.5	10	3.0	2	26	8	3.3	1	25	8	3.1		25.5	8	3.2	5	23.5	6	3.9	3	24.5	6	4.1	2	24	6	4.0		23	6	3.8	1	21	6	3.5	1	21	6	3.5	4	25	8	3.1	5	21.5	6	3.6	3	20	4	5.0	3	23	6	3.8	2	24.5	6	4.1	1	17.00	4	4.3	1	16.00	2	8.0	4	15	2	7.5	5	15.5	2	7.8	3	14.00	2	7.0	3	12.00	2	6.0	2	14.00	2	7.0	1	14.50	2	7.3	4	16.50	2	8.3	4	15.00	2	7.5	5	15.00	2	7.5	3
18	RODILLONA	10	0	NaN	2	10	0	NaN	2			NaN	3			NaN	4			NaN	5			NaN	3			NaN	2			NaN	1			NaN				NaN				NaN		22	10	2.2		27.5	8	3.4		31	10	3.1	1	23.5	6	3.9	1	29.9	10	3.0	4	32.5	10	3.3	5	20.5	4	5.1	5	25.5	8	3.2	3	24.5	6	4.1	2	29	10	2.9	1	28.5	8	3.6	1	30	8	3.8	4	26.5	8	3.3	5	28.5	8	3.6	3	28	8	3.5		28.5	8	3.6	2	25.5	8	3.2	2	27	8	3.4	1	27.5	8	3.4	4	27.5	8	3.4	5	22	6	3.7	3	27	8	3.4	2	24	6	4.0		25.5	8	3.2	1	26.5	8	3.3	1	22.5	6	3.8	4	25	8	3.1	5	25.5	8	3.2	3	24	6	4.0	3	16	2	8.0	2	16	4	4.0	1	21.50	6	3.6	1	23.00	6	3.8	4	23.5	6	3.9	5	22	6	3.7	3	22.00	6	3.7	3	20.00	6	3.3	2	19.00	4	4.8	1	20.50	4	5.1	4	21.50	4	5.4	4	22.00	6	3.7	5	21.00	6	3.5	3
