V_max,t_max,V_preg,lactant,dry,V_preg_cond_V_max
26.707635596596628,0.0,26.707635596596628,280.0,85.0,0.0
25.035461729921852,77.87939924052091,23.414714735029534,286.0,79.0,0.06473805086467552
28.590739162991866,0.0,28.590739162991866,231.0,134.0,0.0
32.858515551186294,0.0,32.858515551186294,217.0,148.0,0.0
18.65136761086648,0.0,18.65136761086648,294.0,71.0,0.0
32.19171423041334,67.75569230858024,29.305176702936965,357.0,8.0,0.08966709591219278
30.925932544438545,0.0,30.925932544438545,269.0,96.0,0.0
31.00419308017719,53.91120613848717,22.661487145766745,113.0,252.0,0.2690831499093078
32.907087265397514,0.0,32.907087265397514,302.0,63.0,0.0
26.899557871634954,2.5491071404449617,25.500000009843568,239.0,126.0,0.052029028449839025
33.67768163360018,17.866952949962638,29.275484457004445,29.0,336.0,0.1307155648209367
24.095143302077524,3.7861841994882757,22.000000027078197,266.0,99.0,0.08695292859365064
20.500405844155843,0.3181818181818091,20.5,280.0,85.0,1.979688397039553e-05
32.67743326909337,18.367838333651257,32.4746127953344,232.0,133.0,0.006206744332970561
23.63858216382097,32.74748669516958,21.204439028882202,322.0,43.0,0.10297331363063911
26.755723327848003,30.98616944172413,26.594701181762833,308.0,57.0,0.006018231841916754
18.170891331280373,0.0,18.170891331280373,308.0,57.0,0.0
28.000969030441595,4.507812516533427,25.499999971335367,287.0,78.0,0.08931723242818024
34.40855050326292,0.0,34.40855050326292,315.0,50.0,0.0
38.38561349897581,0.0,38.38561349897581,315.0,50.0,0.0
11.960000017312272,3.4999999896238845,10.000000023233016,279.0,86.0,0.1638795979299438
27.274424780496023,5.263407776191415,27.271418417213816,329.0,36.0,0.00011022645963763466
33.20447879941741,0.0,33.20447879941741,287.0,78.0,0.0
22.444925985340006,50.693425828072385,18.34820201903339,35.0,330.0,0.18252338942807866
23.703080400193343,0.0,23.703080400193343,182.0,183.0,0.0
21.316215477939426,0.0,21.316215477939426,244.0,121.0,0.0
26.417496717056142,59.20951614703316,19.924946755783655,,,0.2457670395802737
23.459826320905957,118.0968643307773,20.731229378875614,,,0.1163093411138677
21.598402082528125,40.612610315009505,20.910783432698217,,,0.03183655194502338
27.741193100629125,37.53125792438366,21.907523822788097,,,0.21028905486075616
18.05204084794749,2.785714274481998,16.50000003858676,,,0.08597591942282799
39.44531311183976,37.82593802539753,38.29321544327067,,,0.02920746668438238
