COW,DATE,MILK,CONCENTRATED FEEDING,RELATION,PADDOCK
3,10-ago,0.0,0.0,0.0,2.0
3,17-ago,0.0,0.0,0.0,0.0
3,24-ago,0.0,0.0,0.0,1.0
3,31-ago,0.0,0.0,0.0,1.0
3,6-sep,0.0,0.0,0.0,4.0
3,13-sep,0.0,0.0,0.0,5.0
3,21-sep,0.0,0.0,0.0,0.0
3,28-sep,0.0,0.0,0.0,0.0
3,4-oct,0.0,0.0,0.0,0.0
3,12-oct,0.0,0.0,0.0,0.0
3,19-oct,40.0,10.0,4.0,1.0
3,26-oct,41.5,10.0,4.2,4.0
3,2-nov,43.5,10.0,4.4,5.0
3,9-nov,40.0,10.0,4.0,3.0
3,15-nov,37.5,10.0,3.8,3.0
3,23-nov,34.0,10.0,3.4,2.0
3,30-nov,44.0,10.0,4.4,1.0
3,7-dic,46.5,10.0,4.7,4.0
3,14-dic,44.0,10.0,4.4,4.0
3,22-dic,34.5,10.0,3.5,5.0
3,28-dic,44.5,10.0,4.5,3.0
4,5-ene,22.0,6.0,3.7,2.0
4,12-ene,28.5,6.0,4.8,2.0
4,19-ene,23.5,5.0,4.7,3.0
4,26-ene,21.5,6.0,3.6,4.0
4,2-feb,22.0,6.0,3.7,5.0
4,9-feb,20.0,4.0,5.0,3.0
4,16-feb,16.5,4.0,4.1,2.0
4,23-feb,19.5,4.0,4.9,1.0
4,2-mar,18.0,4.0,4.5,0.0
4,9-mar,17.0,4.0,4.3,0.0
4,17-mar,18.0,4.0,4.5,0.0
4,23-mar,18.0,4.0,4.5,0.0
4,30-mar,17.0,4.0,4.3,0.0
4,6-abr,18.0,4.0,4.5,1.0
4,14-abr,17.5,4.0,4.4,1.0
4,20-abr,16.5,4.0,4.1,4.0
4,27-abr,16.0,4.0,4.0,5.0
4,4-may,16.0,4.0,4.0,5.0
4,11-may,16.0,4.0,4.0,3.0
4,18-may,15.0,2.0,7.5,2.0
4,25-may,16.5,2.0,8.3,1.0
4,1-jun,14.5,2.0,7.3,1.0
4,8-jun,12.0,0.0,0.0,4.0
4,15-jun,12.5,0.0,0.0,5.0
4,23-jun,11.5,2.0,5.8,3.0
4,26-jun,12.5,2.0,6.3,0.0
4,1-jul,12.5,2.0,6.3,2.0
4,6-jul,11.5,2.0,5.8,2.0
4,13-jul,11.0,2.0,5.5,1.0
4,20-jul,9.0,2.0,4.5,4.0
4,27-jul,11.0,2.0,5.5,5.0
4,3-ago,9.5,0.0,0.0,3.0
4,10-ago,9.0,0.0,0.0,2.0
4,17-ago,0.0,0.0,0.0,0.0
4,24-ago,0.0,0.0,0.0,1.0
4,31-ago,0.0,0.0,0.0,1.0
4,6-sep,0.0,0.0,0.0,0.0
4,13-sep,0.0,0.0,0.0,0.0
4,21-sep,0.0,0.0,0.0,0.0
4,28-sep,0.0,0.0,0.0,0.0
4,4-oct,0.0,0.0,0.0,0.0
4,12-oct,0.0,0.0,0.0,0.0
4,19-oct,0.0,0.0,0.0,0.0
4,26-oct,0.0,0.0,0.0,0.0
4,2-nov,0.0,0.0,0.0,0.0
4,9-nov,0.0,0.0,0.0,0.0
4,15-nov,0.0,0.0,0.0,0.0
4,23-nov,0.0,0.0,0.0,0.0
4,30-nov,0.0,0.0,0.0,0.0
4,7-dic,0.0,0.0,0.0,0.0
4,14-dic,0.0,0.0,0.0,0.0
4,22-dic,0.0,0.0,0.0,0.0
4,28-dic,0.0,0.0,0.0,0.0
5,5-ene,0.0,0.0,0.0,0.0
5,12-ene,0.0,0.0,0.0,2.0
5,19-ene,0.0,0.0,0.0,3.0
5,26-ene,0.0,0.0,0.0,4.0
5,2-feb,0.0,0.0,0.0,5.0
5,9-feb,0.0,0.0,0.0,3.0
5,16-feb,0.0,0.0,0.0,2.0
5,23-feb,0.0,0.0,0.0,1.0
5,2-mar,0.0,0.0,0.0,0.0
5,9-mar,28.5,8.0,3.6,0.0
5,17-mar,32.0,10.0,3.2,0.0
5,23-mar,33.0,10.0,3.3,0.0
5,30-mar,32.5,12.0,2.7,0.0
5,6-abr,34.0,10.0,3.4,1.0
5,14-abr,34.5,10.0,3.5,1.0
