Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,435.9112580253288,11.0,132.39522306025464,139.22595465015388
2.0,439.4129515307743,11.0,133.39544707895044,139.48038699998642
3.0,442.9696672160425,11.0,134.4116385342307,139.73595068159798
4.0,446.58140508113314,11.0,135.4437974260955,139.9926456949885
5.0,450.2481651260465,11.0,136.49192375454484,140.25047204015806
6.0,453.96994735078226,11.0,137.5560175195787,140.5094297171066
7.0,457.74675175534077,11.0,138.63607872119704,140.7695187258341
8.0,461.57857833972173,11.0,139.7321073593999,141.0307390663407
9.0,465.4654271039253,11.0,140.84410343418728,141.2930907386262
10.0,469.4072980479516,11.0,141.9720669455591,141.55657374269077
11.0,473.4041911718003,11.0,143.11599789351556,141.82118807853433
12.0,542.164474460631,14.0,161.7911197386901,176.33281354658527
13.0,545.814693310444,14.0,162.96833048847515,176.46804516129396
14.0,549.5335308041352,14.0,164.02762399869087,176.74217181434125
15.0,553.3209869417052,14.0,165.1068306393601,177.01736313570422
16.0,557.1770617231535,14.0,166.20595041048287,177.29361912538295
17.0,561.10175514848,14.0,167.32498331205912,177.5709397833774
18.0,565.0950672176854,14.0,168.46392934408888,177.84932510968764
19.0,569.156997930769,14.0,169.6227885065723,178.12877510431358
20.0,573.2875472877311,14.0,170.80156079950916,178.40928976725527
21.0,577.4867152885716,14.0,172.00024622289956,178.6908690985127
22.0,581.7545019332905,14.0,173.21884477674345,178.97351309808587
23.0,586.0909072218878,14.0,174.45735646104092,179.25722176597472
24.0,590.4959311543637,14.0,175.7157812757919,179.54199510217936
25.0,594.969573730718,14.0,176.99411922099634,179.82783310669973
26.0,599.5118349509509,14.0,178.29237029665435,180.11473577953586
27.0,604.122714815062,14.0,179.61053450276592,180.40270312068765
28.0,608.8022133230517,14.0,180.948611839331,180.69173513015522
29.0,635.0100734232753,16.0,187.69253705221104,203.91829734601416
30.0,648.6401963207219,16.0,180.21291342122282,182.44218866849022
31.0,653.1445220852742,16.0,181.50578497227352,182.43438774508894
32.0,672.1338281007892,17.0,186.57151317834072,193.88625157733006
