Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,610.9212049751193,11.0,171.1163668838649,125.27762013192171
2.0,616.3368097698202,11.0,172.6627336837796,125.27630913312078
3.0,621.8393949625483,11.0,174.23434219520183,125.27457166942831
4.0,627.4289605533035,11.0,175.8311924181315,125.2724077408443
5.0,633.1055065420859,11.0,177.45328435256863,125.2698173473688
6.0,638.8690329288955,11.0,179.10061799851334,125.26680048900177
7.0,644.7195397137322,11.0,180.77319335596547,125.26335716574316
8.0,650.657026896596,11.0,182.47101042492505,125.25948737759306
9.0,656.6814944774869,11.0,184.19406920539217,125.25519112455142
10.0,662.792942456405,11.0,185.94236969736673,125.2504684066183
11.0,668.9913708333503,11.0,187.71591190084874,125.24531922379363
12.0,738.289347824557,14.0,206.53669015300787,159.49504591329475
13.0,743.8436102378685,14.0,208.36316873868643,159.2531817313467
14.0,749.5396778826472,14.0,209.97501569102943,159.26640578985615
15.0,755.3775507588932,14.0,211.62801452154423,159.27893457731577
16.0,761.3572288666065,14.0,213.32216523023084,159.29076809372546
17.0,599.4976826292675,14.0,178.21798941791639,196.1563793423386
18.0,604.4171383343995,14.0,179.60642749901342,196.55946359948175
19.0,609.4716318222063,14.0,181.0340535446427,196.96384968001604
20.0,614.661163092688,14.0,182.50086755480424,197.36953758394142
21.0,619.9857321458443,14.0,184.006869529498,197.77652731125798
22.0,625.4453389816757,14.0,185.55205946872405,198.18481886196557
23.0,631.0399836001818,14.0,187.13643737248225,198.59441223606433
24.0,636.7696660013628,14.0,188.76000324077276,199.0053074335542
25.0,642.6343861852184,14.0,190.4227570735955,199.41750445443526
26.0,648.6341441517493,14.0,192.12469887095043,199.83100329870737
27.0,654.7689399009547,14.0,193.8658286328376,200.24580396637057
28.0,661.0387734328348,14.0,195.64614635925702,200.66190645742503
29.0,582.8339118595813,16.0,184.15724926587737,248.1139241249996
30.0,587.1432302087421,16.0,185.45000122165055,249.0289039840983
31.0,591.5801528230504,16.0,186.70056540657697,250.02923212346445
32.0,610.0645875479438,17.0,191.60682970037547,262.48832861195893
33.0,614.6591719884334,17.0,192.9317433064133,263.4727985670118
34.0,619.3847196345115,17.0,194.26509171104337,264.4929525285239
35.0,624.2412304861778,17.0,195.63644563793522,265.51921977282603
36.0,629.2287045434325,17.0,197.0458050870888,266.5516002999181
37.0,634.3471418062757,17.0,198.49317005850412,267.5900941098002
