Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,355.081156136437,11.0,97.73943060210497,125.66415800015206
2.0,357.4519072058813,11.0,98.41795151079404,125.66200525932229
3.0,359.85529456637903,11.0,99.10594347114676,125.6596925027575
4.0,362.2913182179301,11.0,99.8034064831632,125.65721973045763
5.0,364.75997816053456,11.0,100.51034054684332,125.6545869424227
6.0,367.26127439419247,11.0,101.22674566218714,125.65179413865276
7.0,369.79520691890366,11.0,101.95262182919464,125.6488413191478
8.0,372.36177573466824,11.0,102.68796904786586,125.64572848390782
9.0,374.9609808414863,11.0,103.43278731820072,125.64245563293277
10.0,377.59282223935764,11.0,104.18707664019931,125.63902276622268
11.0,380.2572999282824,11.0,104.95083701386157,125.63542988377758
12.0,444.7476791784047,14.0,122.39345879001034,159.89171983655098
13.0,447.0668510819893,14.0,123.17737649757304,159.76945491556526
14.0,449.43518020661105,14.0,123.8504001839933,159.77210842341222
15.0,451.8526665522701,14.0,124.53768929595854,159.77452091340444
16.0,454.3193101189664,14.0,125.2392438334688,159.77669238554196
17.0,456.8351109066999,14.0,125.95506379652406,159.7786228398247
18.0,459.40006891547074,14.0,126.68514918512432,159.78031227625274
19.0,462.01418414527865,14.0,127.42949999926961,159.781760694826
20.0,464.6774565961239,14.0,128.18811623895988,159.7829680955445
21.0,467.38988626800653,14.0,128.96099790419518,159.78393447840824
22.0,470.15147316092623,14.0,129.74814499497552,159.78465984341727
23.0,472.96221727488324,14.0,130.54955751130078,159.78514419057154
24.0,475.8221186098775,14.0,131.36523545317112,159.78538751987108
25.0,478.73117716590895,14.0,132.19517882058642,159.78538983131585
26.0,481.6893929429777,14.0,133.03938761354678,159.78515112490592
27.0,484.6967659410836,14.0,133.89786183205212,159.78467140064123
28.0,487.75329616022685,14.0,134.77060147610246,159.78395065852175
29.0,508.3081143475994,16.0,139.87974274082896,182.73903735819817
30.0,511.3268907282484,16.0,140.7814147836734,182.6986131604237
31.0,514.3994728508937,16.0,141.65746368933767,182.69916271660375
32.0,533.9842517494287,17.0,146.9043312824083,194.1397737889485
33.0,537.0241458632823,17.0,147.81202985768417,194.09934788467262
34.0,540.1273604590573,17.0,148.69420712952453,194.10250842736303
35.0,543.2938955367531,17.0,149.5947600052184,194.10535850973062
36.0,509.3941640983974,17.0,151.29359257177995,193.0551301759863
37.0,512.5685045423457,17.0,152.19658642135488,193.09207636587433
38.0,457.9766474341416,17.0,148.01116449668828,197.94370684506265
39.0,460.74037594378206,17.0,148.7958230853879,198.1369284113862
40.0,463.5639784189568,17.0,149.59785709888558,198.33085659471215
41.0,466.4474548596659,17.0,150.41726653718126,198.5254913950405
42.0,469.39080526590925,17.0,151.25405140027505,198.72083281237127
43.0,472.3940296376869,17.0,152.10821168816688,198.91688084670452
44.0,475.45712797499897,17.0,152.97974740085678,199.11363549804014
45.0,478.5801002778452,17.0,153.86865853834468,199.31109676637817
46.0,481.76294654622575,17.0,154.77494510063067,199.50926465171872
47.0,501.90827325251087,18.0,160.18300471141137,211.14600444911284
48.0,505.163432379194,18.0,161.12418089787863,211.33191370991804
49.0,508.47924376017863,18.0,162.06882807644206,211.53265606387802
50.0,511.85570739546466,18.0,163.03107653920387,211.7341012188906
51.0,515.292823285052,18.0,164.01092628616385,211.93624917495572
52.0,518.7905914289408,18.0,165.0083773173221,212.13909993207346
53.0,522.3490118271311,18.0,166.0234296326787,212.34265349024383
54.0,525.9680844796228,18.0,167.05608323223345,212.54690984946683
55.0,463.33162359323865,18.0,160.58294701680197,219.97884234987544
56.0,466.37480444995504,18.0,161.4498371667579,220.38752833314436
57.0,469.47394993335377,18.0,162.332968251377,220.79830045043917
58.0,472.6290600434347,18.0,163.23234027065925,221.21115870175984
59.0,475.84013478019807,18.0,164.14795322460478,221.6261030871064
60.0,479.10717414364365,18.0,165.0798071132135,222.04313360647888
61.0,482.43017813377173,18.0,166.02790193648542,222.4622502598772
62.0,485.80914675058193,18.0,166.9922376944205,222.8834530473015
63.0,489.24407999407435,18.0,167.97281438701887,223.30674196875154
64.0,492.7349778642493,18.0,168.96963201428042,223.73211702422748
65.0,496.28184036110645,18.0,169.9826905762052,224.1595782137294
66.0,511.27134431057584,19.0,173.8953515919672,236.05434875649044
67.0,514.7777054511331,19.0,174.94134411892918,236.44204212268784
68.0,518.3468130835837,19.0,175.95889012191884,236.87844392734561
69.0,521.9786672079274,19.0,176.99464515685597,237.31689861454416
70.0,525.6732678241643,19.0,178.04860922374053,237.75740618428338
71.0,529.4306149322944,19.0,179.12078232257247,238.1999666365635
72.0,533.2507085323177,19.0,180.21116445335184,238.6445799713843
73.0,537.1335486242343,19.0,181.31975561607865,239.09124618874588
74.0,541.0791352080441,19.0,182.44655581075278,239.53996528864818
75.0,545.0874682837472,19.0,183.59156503737447,239.9907372710912
76.0,549.1585478513433,19.0,184.7547832959434,240.44356213607506
77.0,553.2923739108329,19.0,185.9362105864599,240.8984398835996
78.0,582.5582934852065,21.0,193.56915368771496,264.27427323249185
79.0,586.6074038594777,21.0,194.78761676940695,264.67266711517624
80.0,590.7246222131644,21.0,195.96266860002044,265.1362637797329
81.0,594.9099485462666,21.0,197.1574853662603,265.601887039457
82.0,599.1633828587845,21.0,198.37206706812657,266.06953689434846
83.0,603.4849251507183,21.0,199.6064137056193,266.5392133444074
84.0,607.8745754220676,21.0,200.86052527873844,267.0109163896338
85.0,612.3323336728323,21.0,202.13440178748397,267.48464603002753
86.0,616.8581999030125,21.0,203.42804323185595,267.96040226558887
87.0,621.4521741126086,21.0,204.74144961185422,268.43818509631745
88.0,626.1142563016202,21.0,206.07462092747897,268.9179945222136
89.0,639.0034077617387,22.0,209.37449255373886,280.88062234790414
90.0,643.7349887567271,22.0,210.74738893245663,281.34525556873706
91.0,648.5357767033014,22.0,212.1204937372022,281.83178542779916
92.0,653.4057716014615,22.0,213.51368239929812,282.32033649376814
93.0,621.8100320759206,22.0,215.93558401613416,281.4703414023187
94.0,502.29747746799444,22.0,193.0740227483371,306.127312873517
95.0,505.9488938139461,22.0,194.11652796121197,307.0369071905408
96.0,522.5014269465568,22.0,187.44180848222825,306.65970857541384
97.0,526.055817235003,22.0,188.45911409989074,307.5325767654563
98.0,542.1542702937661,22.0,181.594364587333,292.92166467988943
99.0,545.6787301612571,22.0,182.64176923925095,293.5619661105818
100.0,549.2743874662644,22.0,183.66456749279678,294.25149475114233
