Time (day),Volume (Liters),n active cows,concentrated_requirements,grass_requirements
1.0,302.58949073591015,11.0,94.10357793043737,123.64167132137166
2.0,304.70001736341175,11.0,94.7054702115611,123.69505468860368
3.0,306.8470103802215,11.0,95.31794503886209,123.74861232703444
4.0,309.03046978633955,11.0,95.94100241234028,123.80234423666397
5.0,311.25039558176564,11.0,96.57464233199573,123.8562504174923
6.0,313.50678776650005,11.0,97.21886479782839,123.91033086951944
7.0,315.7996463405425,11.0,97.8736698098383,123.96458559274534
8.0,318.1289713038932,11.0,98.53905736802542,124.01901458717005
9.0,320.4947626565521,11.0,99.21502747238979,124.0736178527935
10.0,322.8970203985191,11.0,99.90158012293139,124.12839538961578
11.0,325.3357445297943,11.0,100.59871531965024,124.18334719763683
12.0,351.9620687226901,14.0,107.05130501604938,158.68384730666327
13.0,353.79766981422523,14.0,107.77159234332466,158.5442839220703
14.0,355.6872272999575,14.0,108.30428378008816,158.60806309128992
15.0,357.6307411798871,14.0,108.85263336244768,158.67193077821432
16.0,359.62821145401364,14.0,109.4166410904032,158.73588698284357
17.0,361.6796381223374,14.0,109.99630696395477,158.79993170517758
18.0,363.78502118485846,14.0,110.59163098310233,158.8640649452165
19.0,365.9443606415765,14.0,111.2026131478459,158.92828670296018
20.0,368.15765649249175,14.0,111.82925345818549,158.99259697840867
21.0,370.42490873760426,14.0,112.47155191412114,159.05699577156201
22.0,372.74611737691384,14.0,113.12950851565276,159.12148308242013
23.0,375.1212824104206,14.0,113.80312326278039,159.1860589109831
24.0,377.55040383812457,14.0,114.49239615550407,159.2507232572508
25.0,380.03348166002564,14.0,115.19732719382374,159.3154761212234
26.0,382.57051587612386,14.0,115.91791637773945,159.3803175029008
27.0,385.16150648641934,14.0,116.65416370725116,159.445247402283
28.0,387.80645349091196,14.0,117.40606918235889,159.51026581936998
29.0,427.9630636883458,16.0,128.20187190150605,182.4337050322797
30.0,430.4472153626249,16.0,128.985881082358,182.42145145010977
31.0,432.99063052822663,16.0,129.70678189823374,182.48956699510535
32.0,447.6110881857103,17.0,133.51159767255126,194.0196646393712
33.0,450.1899466943377,17.0,134.2671377914931,194.06395889254702
34.0,333.33897859298133,17.0,112.38199970411394,216.4098360021838
35.0,334.2253405686215,17.0,112.62597158768317,217.0054877175966
36.0,335.1573619576371,17.0,112.88319383301393,217.60555269184005
37.0,336.1350427600282,17.0,113.15366644010628,218.21003092491412
38.0,337.1583829757948,17.0,113.43738940896019,218.81892241681874
39.0,338.2273826049368,17.0,113.73436273957562,219.43222716755412
40.0,339.34204164745427,17.0,114.04458643195265,220.04994517712
41.0,340.5023601033472,17.0,114.36806048609118,220.6720764455166
42.0,341.70833797261554,17.0,114.70478490199133,221.29862097274378
43.0,342.9599752552594,17.0,115.054759679653,221.9295787588016
44.0,344.25727195127865,17.0,115.41798481907627,222.56494980369007
45.0,345.60022806067343,17.0,115.79446032026107,223.20473410740905
46.0,346.9888435834436,17.0,116.18418618320742,223.84893166995877
47.0,364.60243149059767,18.0,120.86149110754529,235.93912324439884
48.0,365.97696787042474,18.0,121.27802561857143,236.56176967549328
49.0,367.3985974700614,18.0,121.67691607599723,237.22013284145459
50.0,368.8673202895077,18.0,122.0894729858118,237.88290223629343
51.0,370.38313632876367,18.0,122.51569634801514,238.55007786000994
52.0,371.9460455878295,18.0,122.9555861626072,239.22165971260424
53.0,373.55604806670465,18.0,123.40914242958807,239.89764779407616
54.0,400.88784893682237,18.0,119.81644306790416,239.34209756078423
55.0,402.52848344877077,18.0,120.28745376146584,239.9467834705796
56.0,404.21697749042653,18.0,120.76356589683327,240.564306179845
57.0,405.9533310617898,18.0,121.25356686772179,241.18587829486506
58.0,407.7375441628605,18.0,121.75745667413139,241.81149981563988
59.0,409.5696167936388,18.0,122.2752353160621,242.44117074216933
60.0,411.4495489541243,18.0,122.80690279351393,243.07489107445346
61.0,413.37734064431737,18.0,123.35245910648686,243.71266081249226
62.0,415.352991864218,18.0,123.9119042549809,244.3544799562858
63.0,417.37650261382595,18.0,124.48523823899603,245.00034850583398
64.0,419.4478728931414,18.0,125.0724610585323,245.65026646113685
65.0,421.56710270216433,18.0,125.67357271358965,246.30423382219442
66.0,449.9777569436749,19.0,133.48304268521937,258.3549914440239
67.0,451.9183026828897,19.0,134.11274506505444,258.9379581732973
68.0,453.9183584711531,19.0,134.67589143857458,259.60874300837804
69.0,455.9779243084652,19.0,135.25630762832864,260.2835201267171
70.0,458.0970001948261,19.0,135.85399363431665,260.9622895283145
71.0,460.2755861302357,19.0,136.46894945653858,261.6450512131703
72.0,462.5136821146938,19.0,137.1011750949944,262.3318051812844
73.0,464.8112881482009,19.0,137.75067054968417,263.0225514326569
74.0,467.1684042307563,19.0,138.41743582060786,263.71728996728774
75.0,469.58503036236056,19.0,139.10147090776547,264.4160207851769
76.0,472.0611665430135,19.0,139.802775811157,265.1187438863244
77.0,474.59681277271505,19.0,140.5213505307825,265.82545927073033
78.0,510.3705346543549,21.0,150.04379088545363,289.41531635039047
79.0,512.8122798687453,21.0,150.79752915669377,290.0686466272742
80.0,515.3177273477264,21.0,151.50612361790988,290.78957884019167
81.0,517.8868770912984,21.0,152.23320447631022,291.51448278193476
82.0,520.5197290994613,21.0,152.97877173189482,292.2433584525034
83.0,523.2162833722148,21.0,153.74282538466363,292.9762058518976
84.0,525.976539909559,21.0,154.52536543461676,293.7130249801173
85.0,528.8004987114942,21.0,155.32639188175403,294.4538158371626
86.0,531.6881597780201,21.0,156.1459047260756,295.19857842303344
87.0,534.6395231091367,21.0,156.98390396758145,295.9473127377299
88.0,537.6545887048441,21.0,157.84038960627151,296.7000187812518
89.0,555.3303878273613,22.0,162.53049009861954,308.90605732514274
90.0,558.3599507829576,22.0,163.42427854750028,309.634164733816
91.0,489.9910953246035,22.0,155.2204841848409,319.2773579691866
92.0,492.68342974669304,22.0,155.9834158631999,320.18389047952684
93.0,495.4391127936326,22.0,156.7647313124903,321.094975688313
94.0,522.9761487763977,22.0,153.23741599057172,260.75645306047056
95.0,525.6715027550578,22.0,154.0350783749106,260.86471528536737
96.0,528.4332895598361,22.0,154.81727009951777,261.0079804917139
97.0,531.2615091907327,22.0,155.61874063026443,261.15149921363906
98.0,534.1561616477476,22.0,156.43948996715062,261.2952714511425
99.0,537.1172469308808,22.0,157.27951811017635,261.4392972042244
100.0,540.1447650401327,22.0,158.13882505934163,261.58357647288466
101.0,543.2387159755028,22.0,159.01741081464647,261.7281092571234
102.0,546.3990997369912,22.0,159.91527537609088,261.87289555694053
103.0,569.0232776771021,23.0,166.04025636307915,273.44410675471704
104.0,572.0862908684034,23.0,166.97735518189504,273.52303773704983
105.0,575.2216537908764,23.0,167.86624161001063,273.6714015070618
106.0,578.4293664445215,23.0,168.77612393011233,273.8199897820668
107.0,581.7094288293385,23.0,169.70700214220014,273.96880256206464
108.0,585.0618409453273,23.0,170.65887624627408,274.1178398470555
109.0,588.4866027924883,23.0,171.63174624233403,274.2671016370393
110.0,591.983714370821,23.0,172.62561213038006,274.41658793201594
111.0,595.5531756803259,23.0,173.64047391041228,274.5662987319856
112.0,599.1949867210026,23.0,174.67633158243055,274.7162340369482
113.0,602.9091474928509,23.0,175.73318514643495,274.86639384690375
114.0,470.78470391794946,23.0,149.1507462257714,302.6623674495912
115.0,496.0591069494927,24.0,156.04419380330273,314.4886346501926
116.0,498.89540459106735,24.0,156.90315283674278,314.84941684817295
117.0,501.8051308286239,24.0,157.72624641232775,315.2685640688855
118.0,504.78828566216214,24.0,158.57064896646668,315.68890187592143
119.0,507.8448690916824,24.0,159.43636049915952,316.11043026928064
120.0,510.9748811171842,24.0,160.32338101040622,316.5331492489631
121.0,514.1783217386679,24.0,161.23171050020684,316.95705881496906
122.0,517.4551909561336,24.0,162.16134896856147,317.38215896729827
123.0,520.8054887695811,24.0,163.11229641546998,317.80844970595086
124.0,524.2292151790102,24.0,164.08455284093242,318.2359310309267
125.0,527.7263701844213,24.0,165.0781182449488,318.6646029422258
126.0,531.2969537858141,24.0,166.09299262751904,319.09446543984836
127.0,534.9409659831887,24.0,167.12917598864325,319.5255185237942
